Image,Method,Precision,Recall,F1,IoUCrack,IoUBackground,mIoU
20160302_155919.jpg,Otsu,0.0176404461995215,0.9792,0.0346565490684637,0.0176338385293609,0.474862916640996,0.246248377585178
20160302_155919.jpg,CLAHE + Canny,0.0309112806101967,0.1232,0.0494223363286264,0.0253372820006581,0.954750301715578,0.490043791858118
20160302_155919.jpg,Sauvola raw,0.0687650107445329,0.8704,0.127460168697282,0.0680680680680681,0.885401280157558,0.476734674112813
20160302_155919.jpg,Sauvola + morphology,0.320652173913043,0.7552,0.450166905102527,0.290461538461538,0.982278986843723,0.636370262652631
20160302_155925.jpg,Otsu,0.0232949435757593,0.91353811149033,0.0454314002828854,0.023243696992503,0.478720281772821,0.250981989382662
20160302_155925.jpg,CLAHE + Canny,0.0460765149399609,0.187713310580205,0.0739910313901345,0.0384167636786962,0.936822138257025,0.487619450967861
20160302_155925.jpg,Sauvola raw,0.087874659400545,0.733788395904437,0.156953400657014,0.0851597570636388,0.893220939729701,0.48919034839667
20160302_155925.jpg,Sauvola + morphology,0.486772486772487,0.732650739476678,0.584922797456857,0.413350449293967,0.985915058867041,0.699632754080504
20160302_160033.jpg,Otsu,0.0504489603024575,0.853431045969354,0.0952664262075633,0.0500156176792129,0.621336860944674,0.335676239311943
20160302_160033.jpg,CLAHE + Canny,0.0293729994351346,0.103930712858095,0.0458015267175573,0.0234375,0.900581217497706,0.462009358748853
20160302_160033.jpg,Sauvola raw,0.198157968183087,0.473017988007995,0.279307631785995,0.162322816643804,0.943479468114645,0.552901142379225
20160302_160033.jpg,Sauvola + morphology,0.678646934460888,0.427714856762159,0.524724152022885,0.355678670360111,0.982078466422165,0.668878568391138
20160303_092627.jpg,Otsu,0.0122329742559796,0.99364406779661,0.0241684058643168,0.0122320171091753,0.417938432692455,0.215085224900815
20160303_092627.jpg,CLAHE + Canny,0.00924832743014561,0.0995762711864407,0.0169247389268995,0.0085345923370256,0.916627219838446,0.462580906087736
20160303_092627.jpg,Sauvola raw,0.106490066225166,0.851694915254237,0.18931010124794,0.104551365409623,0.947139742684312,0.525845554046968
20160303_092627.jpg,Sauvola + morphology,0.416091954022988,0.766949152542373,0.539493293591654,0.369387755102041,0.990517691103814,0.679952723102928
20160303_092806.jpg,Otsu,0.0156109926118273,0.954631379962193,0.0307196301478192,0.015599419269144,0.509956789838692,0.262778104553918
20160303_092806.jpg,CLAHE + Canny,0.0455729166666667,0.132325141776938,0.0677966101694915,0.0350877192982456,0.970595423578651,0.502841571438449
20160303_092806.jpg,Sauvola raw,0.302795031055901,0.737240075614367,0.429279031370391,0.273300630693763,0.984081908328984,0.628691269511374
20160303_092806.jpg,Sauvola + morphology,0.316780821917808,0.349716446124764,0.332434860736748,0.199353448275862,0.988630625392113,0.593992036833988
20160303_092839.jpg,Otsu,0.0297451709440464,0.839590443686007,0.0574548214754912,0.0295770837716793,0.4998605775189,0.264718830645289
20160303_092839.jpg,CLAHE + Canny,0.194583751253761,0.165529010238908,0.178884278469341,0.0982278481012658,0.972743411588259,0.535485629844762
20160303_092839.jpg,Sauvola raw,0.496725912067353,0.453071672354949,0.473895582329317,0.310526315789474,0.981862933620491,0.646194624704982
20160303_092839.jpg,Sauvola + morphology,0.728301886792453,0.329351535836177,0.45358401880141,0.293313069908815,0.985725249424405,0.63951915966661
20160303_093353.jpg,Otsu,0.0445390627188437,0.918013856812933,0.0849563196281157,0.0443626014899138,0.464376192412348,0.254369396951131
20160303_093353.jpg,CLAHE + Canny,0.0666897028334485,0.111431870669746,0.0834414180717683,0.0435371080532371,0.935111641644859,0.489324374849048
20160303_093353.jpg,Sauvola raw,0.711316397228637,0.355658198614319,0.474210931485758,0.31079717457114,0.978958718422674,0.644877946496907
20160303_093353.jpg,Sauvola + morphology,0.83248730964467,0.284064665127021,0.423590185105467,0.268705625341344,0.979413935182338,0.624059780261841
20160303_093400.jpg,Otsu,0.0294573284931443,0.881051175656985,0.0570086139389193,0.0293406416250202,0.344138059817622,0.186739350721321
20160303_093400.jpg,CLAHE + Canny,0.0876182640888523,0.147302904564315,0.109878772246582,0.0581331877729258,0.947170215697381,0.502651701735153
20160303_093400.jpg,Sauvola raw,0.582600195503421,0.412171507607192,0.482786553260429,0.318206086492258,0.980335694487219,0.649270890489739
20160303_093400.jpg,Sauvola + morphology,0.678378378378378,0.34716459197787,0.459286367795059,0.298099762470309,0.981824891595166,0.639962327032737
20160303_093527.jpg,Otsu,0.0525069209474008,0.91283422459893,0.0993019197207679,0.0522449729134147,0.514860016606872,0.283552494760143
20160303_093527.jpg,CLAHE + Canny,0.0745078494891602,0.159893048128342,0.101648818629951,0.0535458452722063,0.918987691034229,0.486266768153218
20160303_093527.jpg,Sauvola raw,0.188739700945987,0.661497326203209,0.293684710351377,0.172116321135383,0.907463568640259,0.539789944887821
20160303_093527.jpg,Sauvola + morphology,0.674511767651477,0.720320855614973,0.6966640806827,0.53452380952381,0.981725840876163,0.758124825199986
